filename,checksum,uid,θh_pos_is_ventral,label,type,event,t_range
2022-01-16-01-data.h5,8841bc7e068ab74af9e48866b2e24168e6e1ce4b6672b9f7f73e72901d231082,2022-01-16-01,true,false,patchEncounter,time_food_encounter=[325],
2022-01-25-01-data.h5,73b69077aac8061f4f5c3a60164682164c40fcffe77be9f9c37bd81ec4a5857f,2022-01-25-01,true,false,patchEncounter,time_food_encounter=[310],
2022-03-17-01-data.h5,f6449478605ba7ae03faa0c745bef359affb0aa508f5c06d1a9beb7e2635bbdf,2022-03-17-01,true,false,patchEncounter,time_food_encounter=[1085],
2022-03-25-03-data.h5,f02d8db42656e18ed9ea4f2d39868050ab84a111926394dff47cb614ab28fd5c,2022-03-25-03,true,false,patchEncounter,time_food_encounter=[550],
2022-04-05-01-data.h5,06fd0a797666a3ba0d43750fec236343c1463fe728fb454bd07325d009c070d4,2022-04-05-01,true,false,patchEncounter,time_food_encounter=[1185],
2022-04-12-02-data.h5,f841fc8044e76dea03f00e863e6fedeab1137033152e0519aa074e627b4f62e1,2022-04-12-02,true,false,patchEncounter,time_food_encounter=[665],
2022-05-02-01-data.h5,7c39ffe367ebef4d8f630a09f1497462a08dec4d03d16ae58c03f3928ace008d,2022-05-02-01,true,false,patchEncounter,time_food_encounter=[315],
2022-07-26-31-data.h5,d4326a3354c96fedb01a53fc459a86bc4875fb2e0fbf47ed50f5083f923ab212,2022-07-26-31,true,true,"neuropal,reFed",,
2022-07-26-38-data.h5,79711ad035f04c69aaae93c0bc6872ca83d4a08ce785e25938d9351674378498,2022-07-26-38,true,true,"neuropal,reFed",,
2022-07-27-31-data.h5,81f6c51adb9ac9236fd6fe18d98cdb2bbba3c61d7a56beccf56850e393ef1d3a,2022-07-27-31,true,true,"neuropal,reFed",,
2022-07-27-38-data.h5,9a89018dc6c08c88e3e256ce908cdb7c4f96243f1e6f0e2b28f957cc518ce993,2022-07-27-38,true,true,"neuropal,reFed",,
2022-07-27-45-data.h5,7fa3cd26878a0eaf647d6dd35ba04318757b20b5fcce9610c9948d7bf129a1f6,2022-07-27-45,true,true,"neuropal,reFed",,
2022-08-02-31-data.h5,465a3648245f86559611ea0e09535fb519ac91d4faf35aa9cce00a4d0dc98ba1,2022-08-02-31,true,true,"neuropal,reFed",,
2022-08-02-38-data.h5,1e1f9bb86b21cdaf2bfd6dfbaa98131f04d1a0f53fdbfbd73074bad54ee5dd39,2022-08-02-38,true,true,"neuropal,reFed",,
2022-08-03-31-data.h5,bd3d9e8fdead70631e5d3209cfb64e3cbf7d841cbe25d866cc6a3c99f4f421e5,2022-08-03-31,true,true,"neuropal,reFed",,
