class,split_lr,split_dv,split_d_lr,split_v_lr
ADA,0,-1,-1,-1
ADE,0,-1,-1,-1
ADF,0,-1,-1,-1
ADL,0,-1,-1,-1
AFD,0,-1,-1,-1
AIA,0,-1,-1,-1
AIB,0,-1,-1,-1
AIM,0,-1,-1,-1
AIN,0,-1,-1,-1
AIY,0,-1,-1,-1
AIZ,0,-1,-1,-1
ALA,-1,-1,-1,-1
ALM,0,-1,-1,-1
ALN,0,-1,-1,-1
AQR,-1,-1,-1,-1
AS,-1,-1,-1,-1
ASE,1,-1,-1,-1
ASG,0,-1,-1,-1
ASH,0,-1,-1,-1
ASI,0,-1,-1,-1
ASJ,0,-1,-1,-1
ASK,0,-1,-1,-1
AUA,0,-1,-1,-1
AVA,0,-1,-1,-1
AVB,0,-1,-1,-1
AVD,0,-1,-1,-1
AVE,0,-1,-1,-1
AVF,0,-1,-1,-1
AVG,-1,-1,-1,-1
AVH,0,-1,-1,-1
AVJ,0,-1,-1,-1
AVK,0,-1,-1,-1
AVL,-1,-1,-1,-1
AVM,-1,-1,-1,-1
AWA,0,-1,-1,-1
AWB,0,-1,-1,-1
AWC,0,-1,-1,-1
BAG,0,-1,-1,-1
BDU,0,-1,-1,-1
BWM1,-1,0,0,0
BWM10,-1,0,0,0
BWM11,-1,0,0,0
BWM12,-1,0,0,0
BWM13,-1,0,0,0
BWM14,-1,0,0,0
BWM15,-1,0,0,0
BWM16,-1,0,0,0
BWM17,-1,0,0,0
BWM18,-1,0,0,0
BWM19,-1,0,0,0
BWM2,-1,0,0,0
BWM20,-1,0,0,0
BWM21,-1,0,0,0
BWM22,-1,0,0,0
BWM23,-1,0,0,0
BWM24,-1,0,0,0
BWM3,-1,0,0,0
BWM4,-1,0,0,0
BWM5,-1,0,0,0
BWM6,-1,0,0,0
BWM7,-1,0,0,0
BWM8,-1,0,0,0
BWM9,-1,0,0,0
CA,-1,-1,-1,-1
CAN,0,-1,-1,-1
CEM,-1,0,0,0
CEP,-1,1,0,0
CEPsh,-1,0,0,0
CP,-1,-1,-1,-1
DA,-1,-1,-1,-1
DB,-1,-1,-1,-1
DD,-1,-1,-1,-1
DVA,-1,-1,-1,-1
DVB,-1,-1,-1,-1
DVC,-1,-1,-1,-1
DVE,-1,-1,-1,-1
DVF,-1,-1,-1,-1
DX1,-1,-1,-1,-1
DX2,-1,-1,-1,-1
DX3,-1,-1,-1,-1
EF1,-1,-1,-1,-1
EF2,-1,-1,-1,-1
EF3,-1,-1,-1,-1
FLP,0,-1,-1,-1
GLR,0,-1,0,0
HOA,-1,-1,-1,-1
HOB,-1,-1,-1,-1
HSN,0,-1,-1,-1
I1,0,-1,-1,-1
I2,0,-1,-1,-1
I3,-1,-1,-1,-1
I4,-1,-1,-1,-1
I5,-1,-1,-1,-1
I6,-1,-1,-1,-1
IL1,1,1,0,0
IL2,1,1,0,0
LUA,0,-1,-1,-1
M1,-1,-1,-1,-1
M2,0,-1,-1,-1
M3,0,-1,-1,-1
M4,-1,-1,-1,-1
M5,-1,-1,-1,-1
MC,0,-1,-1,-1
MCM,0,-1,-1,-1
MI,-1,-1,-1,-1
NSM,0,-1,-1,-1
OLL,0,-1,-1,-1
OLQ,-1,1,0,0
PCA,0,-1,-1,-1
PCB,0,-1,-1,-1
PCC,0,-1,-1,-1
PDA,-1,-1,-1,-1
PDB,-1,-1,-1,-1
PDC,-1,-1,-1,-1
PDE,0,-1,-1,-1
PGA,-1,-1,-1,-1
PHA,0,-1,-1,-1
PHB,0,-1,-1,-1
PHC,0,-1,-1,-1
PHD,0,-1,-1,-1
PLM,0,-1,-1,-1
PLN,0,-1,-1,-1
PQR,-1,-1,-1,-1
PVC,0,-1,-1,-1
PVD,0,-1,-1,-1
PVM,-1,-1,-1,-1
PVN,0,-1,-1,-1
PVP,0,-1,-1,-1
PVQ,0,-1,-1,-1
PVR,-1,-1,-1,-1
PVT,-1,-1,-1,-1
PVV,-1,-1,-1,-1
PVW,0,-1,-1,-1
PVX,-1,-1,-1,-1
PVY,-1,-1,-1,-1
PVZ,-1,-1,-1,-1
R1A,0,-1,-1,-1
R1B,0,-1,-1,-1
R1st,0,-1,-1,-1
R2A,0,-1,-1,-1
R2B,0,-1,-1,-1
R2st,0,-1,-1,-1
R3A,0,-1,-1,-1
R3B,0,-1,-1,-1
R3st,0,-1,-1,-1
R4A,0,-1,-1,-1
R4B,0,-1,-1,-1
R4st,0,-1,-1,-1
R5A,0,-1,-1,-1
R5B,0,-1,-1,-1
R5st,0,-1,-1,-1
R6A,0,-1,-1,-1
R6B,0,-1,-1,-1
R6st,0,-1,-1,-1
R7A,0,-1,-1,-1
R7B,0,-1,-1,-1
R7st,0,-1,-1,-1
