name,class,type,type_code,category,dv,lr
ADAL,ADA,interneuron,i,shared,,l
ADAR,ADA,interneuron,i,shared,,r
ADEL,ADE,sensory,s,shared,,l
ADER,ADE,sensory,s,shared,,r
ADFL,ADF,sensory,s,shared,,l
ADFR,ADF,sensory,s,shared,,r
ADLL,ADL,sensory,s,shared,,l
ADLR,ADL,sensory,s,shared,,r
AFDL,AFD,sensory,s,shared,,l
AFDR,AFD,sensory,s,shared,,r
AIAL,AIA,interneuron,i,shared,,l
AIAR,AIA,interneuron,i,shared,,r
AIBL,AIB,interneuron,i,shared,,l
AIBR,AIB,interneuron,i,shared,,r
AIML,AIM,interneuron,i,shared,,l
AIMR,AIM,interneuron,i,shared,,r
AINL,AIN,interneuron,i,shared,,l
AINR,AIN,interneuron,i,shared,,r
AIYL,AIY,interneuron,i,shared,,l
AIYR,AIY,interneuron,i,shared,,r
AIZL,AIZ,interneuron,i,shared,,l
AIZR,AIZ,interneuron,i,shared,,r
ALA,ALA,interneuron,i,shared,,
ALML,ALM,sensory,s,shared,,l
ALMR,ALM,sensory,s,shared,,r
ALNL,ALN,sensory,s,shared,,l
ALNR,ALN,sensory,s,shared,,r
AQR,AQR,sensory,s,shared,,
AS01,AS,motorneuron,m,shared,,
AS02,AS,motorneuron,m,shared,,
AS03,AS,motorneuron,m,shared,,
AS04,AS,motorneuron,m,shared,,
AS05,AS,motorneuron,m,shared,,
AS06,AS,motorneuron,m,shared,,
AS07,AS,motorneuron,m,shared,,
AS08,AS,motorneuron,m,shared,,
AS09,AS,motorneuron,m,shared,,
AS10,AS,motorneuron,m,shared,,
AS11,AS,motorneuron,m,shared,,
ASEL,ASE,sensory,s,shared,,l
ASER,ASE,sensory,s,shared,,r
ASGL,ASG,sensory,s,shared,,l
ASGR,ASG,sensory,s,shared,,r
ASHL,ASH,sensory,s,shared,,l
ASHR,ASH,sensory,s,shared,,r
ASIL,ASI,sensory,s,shared,,l
ASIR,ASI,sensory,s,shared,,r
ASJL,ASJ,sensory,s,shared,,l
ASJR,ASJ,sensory,s,shared,,r
ASKL,ASK,sensory,s,shared,,l
ASKR,ASK,sensory,s,shared,,r
AUAL,AUA,interneuron,i,shared,,l
AUAR,AUA,interneuron,i,shared,,r
AVAL,AVA,interneuron,i,shared,,l
AVAR,AVA,interneuron,i,shared,,r
AVBL,AVB,interneuron,i,shared,,l
AVBR,AVB,interneuron,i,shared,,r
AVDL,AVD,interneuron,i,shared,,l
AVDR,AVD,interneuron,i,shared,,r
AVEL,AVE,interneuron,i,shared,,l
AVER,AVE,interneuron,i,shared,,r
AVFL,AVF,interneuron,i,shared,,l
AVFR,AVF,interneuron,i,shared,,r
AVG,AVG,interneuron,i,shared,,
AVHL,AVH,interneuron,i,shared,,l
AVHR,AVH,interneuron,i,shared,,r
AVJL,AVJ,interneuron,i,shared,,l
AVJR,AVJ,interneuron,i,shared,,r
AVKL,AVK,interneuron,i,shared,,l
AVKR,AVK,interneuron,i,shared,,r
AVL,AVL,interneuron,i,shared,,
AVM,AVM,sensory,s,shared,,
AWAL,AWA,sensory,s,shared,,l
AWAR,AWA,sensory,s,shared,,r
AWBL,AWB,sensory,s,shared,,l
AWBR,AWB,sensory,s,shared,,r
AWCL,AWC,sensory,s,shared,,l
AWCR,AWC,sensory,s,shared,,r
BAGL,BAG,sensory,s,shared,,l
BAGR,BAG,sensory,s,shared,,r
BDUL,BDU,interneuron,i,shared,,l
BDUR,BDU,interneuron,i,shared,,r
CA01,CA,interneuron,i,male,,
CA02,CA,interneuron,i,male,,
CA03,CA,interneuron,i,male,,
CA04,CA,interneuron,i,male,,
CA05,CA,interneuron,i,male,,
CA06,CA,interneuron,i,male,,
CA07,CA,interneuron,i,male,,
